Listid,Listname,listPublished,Published,Sectorcode,Status,Competitorid,Fiscode,Lastname,Firstname,Nationcode,Gender,Birthdate,Skiclub,Nationalcode,Competitorname,Birthyear,Calculationdate,DHpoints,DHpos,DHSta,SLpoints,SLpos,SLSta,GSpoints,GSpos,GSSta,SGpoints,SGpos,SGSta,ACpoints,ACpos,ACSta
408,"17th FIS points list 2024/25",1,1,AL,O,283026,820069,.,Umer,PAK,M,2006-02-10,,,". Umer",2006,23-02-2025,,,,680.26,5841,*,454.43,5746,*,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,236444,120097,"A KE",Zhuoli,CHN,M,1998-09-02,,,"A KE Zhuoli",1998,23-02-2025,,,,,,,929.75,5963,*,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,279039,507467,AABERG,Nora,SWE,W,2007-05-14,"Sundsvalls SLK",SWE,"AABERG Nora",2007,23-02-2025,,,,200.01,3191,*,217.18,3270,*,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,287702,426606,AADNESEN,"Julie Traegde Hauger",NOR,W,2008-07-25,"Ljan Alpin",03,"AADNESEN Julie Traegde Hauger",2008,23-02-2025,,,,83.56,1517,,118.17,2208,,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,222777,422781,AAGESEN,Tinius,NOR,M,2001-09-17,"Freidig Alpin",16,"AAGESEN Tinius",2001,23-02-2025,999.99,2141,*,26.59,284,*,26.36,246,*,297.39,2839,*,999.99,1215,*
408,"17th FIS points list 2024/25",1,1,AL,O,284490,502876,AAHLEN,Vincent,SWE,M,2008-03-04,"Tunafors Slalomklubb Eskilstuna",SWE,"AAHLEN Vincent",2008,23-02-2025,,,,99.19,2893,,117.46,3417,,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,228310,502523,AAHS,Albin,SWE,M,2002-06-13,"Sollentuna Slk",SWE,"AAHS Albin",2002,23-02-2025,325.35,1872,*,39.60,705,*,43.32,824,*,257.72,2636,*,,,
408,"17th FIS points list 2024/25",1,1,AL,O,202606,502327,AAKERSTROEM,Joel,SWE,M,1999-04-22,"Oestersund Froesoe slk",SWE,"AAKERSTROEM Joel",1999,23-02-2025,158.88,1236,*,148.28,4075,*,160.32,4311,*,123.84,1375,*,999.99,1215,*
408,"17th FIS points list 2024/25",1,1,AL,O,228265,507139,AAKERSTROEM,Sara,SWE,W,2002-02-07,"Oestersund Froesoe slk",SWE,"AAKERSTROEM Sara",2002,23-02-2025,,,,209.60,3261,*,246.71,3411,*,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,274632,900010,AALTO,"Tommi Iimo Emil",THA,M,2005-05-23,SSAT,THA,"AALTO Tommi Iimo Emil",2005,23-02-2025,,,,133.56,3774,,151.06,4147,,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,280387,180974,AAPRO,Max,FIN,M,2007-12-12,"GrIFK Alpine",FIN,"AAPRO Max",2007,23-02-2025,169.35,1316,*,120.96,3493,*,102.78,3030,*,160.20,1920,*,,,
408,"17th FIS points list 2024/25",1,1,AL,O,287590,423078,AARNES,Teodor,NOR,M,2008-08-26,"Skien Alpinklubb",22,"AARNES Teodor",2008,23-02-2025,,,,126.46,3627,,194.15,4764,+,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,222296,507099,AARSJOE,Ebba,SWE,W,2001-01-12,"Vemdalens If",SWE,"AARSJOE Ebba",2001,23-02-2025,593.04,1131,*,90.92,1699,*,91.71,1732,*,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,228266,507140,AARSJOE,Maja,SWE,W,2002-10-14,"Vemdalens If",SWE,"AARSJOE Maja",2002,23-02-2025,754.50,1175,*,39.31,448,*,59.84,956,*,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,154982,426047,AASBERG,"Kristine Fausa",NOR,W,1994-02-24,"Baerums Skiclub",02,"AASBERG Kristine Fausa",1994,23-02-2025,,,,236.73,3402,*,228.41,3331,*,604.79,2074,*,,,
408,"17th FIS points list 2024/25",1,1,AL,O,287699,423093,AASEN,Sondre,NOR,M,2008-09-23,"Ingierkollen Og rustad sl.Kl",03,"AASEN Sondre",2008,23-02-2025,,,,76.24,2094,,106.25,3137,,89.72,770,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,270084,496671,"ABAD ANTUNA",Maria,ESP,W,2006-09-28,"ESQUI CLUB CERLER ANETO",ESP,"ABAD ANTUNA Maria",2006,23-02-2025,,,,58.73,875,*,62.32,1020,*,106.26,638,*,281.40,275,*
408,"17th FIS points list 2024/25",1,1,AL,O,216214,496434,"ABAD RODRIGUEZ",Celia,ESP,W,2000-10-24,FADI,ESP,"ABAD RODRIGUEZ Celia",2000,23-02-2025,179.71,655,*,46.90,588,*,47.05,616,*,59.43,229,*,113.87,36,*
408,"17th FIS points list 2024/25",1,1,AL,O,215778,492308,"ABAJO MASTRAL",Jaime,ESP,M,2000-11-03,"Formigal E.C.",ESP,"ABAJO MASTRAL Jaime",2000,23-02-2025,,,,199.77,4786,*,389.28,5660,*,,,,,,
408,"17th FIS points list 2024/25",1,1,AL,O,270556,512745,ABATEMARCO,Gian,SUI,M,2006-06-21,Grachen,SUI,"ABATEMARCO Gian",2006,23-02-2025,176.79,1363,*,33.95,501,,53.50,1227,,120.34,1317,*,226.99,453,*
408,"17th FIS points list 2024/25",1,1,AL,O,263222,10000381,ABBA,Alessandro,ITA,M,2005-05-11,"S.C. VAL VERMENAGNA A.D.",ITA51333,"ABBA Alessandro",2005,23-02-2025,,,,65.37,1660,*,68.89,1841,,146.94,1726,*,,,
408,"17th FIS points list 2024/25",1,1,AL,O,273240,10000882,ABBA,Tommaso,ITA,M,2006-02-08,"S.C. SAUZE D OULX A.D.",ITA53522,"ABBA Tommaso",2006,23-02-2025,,,,,,,85.46,2454,,,,,,,
